pred,prey
74,77
66,73
73,77
74,74
2,66
3,66
66,66
73,73
42,57
72,74
43,49
36,36
72,75
36,46
66,63
58,72
57,71
43,54
58,73
44,49
59,73
57,66
44,47
60,73
18,31
2,22
72,66
15,2
41,57
35,36
54,57
9,31
43,47
15,30
4,57
72,71
57,47
36,43
35,45
15,51
22,57
37,49
13,15
24,57
18,57
57,46
35,18
9,4
13,18
66,72
36,47
58,75
2,54
13,23
31,40
59,75
10,4
19,31
10,2
1,22
18,22
59,72
47,70
36,49
37,43
43,21
51,49
2,65
46,35
28,30
37,46
31,37
48,70
57,54
1,47
1,65
54,63
9,1
43,64
49,70
22,49
24,49
48,63
42,63
4,4
36,18
13,16
46,70
10,9
6,2
36,35
42,70
3,65
20,31
9,6
35,40
66,53
24,63
24,65
4,65
34,30
35,39
43,24
22,62
18,54
47,69
10,11
6,9
31,12
9,25
74,52
22,21
74,72
11,45
19,23
9,24
27,23
18,21
27,25
63,71
22,35
22,65
9,45
36,40
24,62
17,45
20,44
1,54
4,59
29,46
24,22
22,60
10,5
13,13
7,9
9,9
9,18
10,6
17,18
4,60
22,59
7,6
5,44
7,25
15,16
13,50
4,61
48,53
42,61
34,46
54,54
34,37
43,42
31,30
18,65
22,51
22,61
43,51
35,26
35,34
20,51
11,43
4,54
2,19
7,1
19,64
47,53
30,30
45,23
20,37
19,24
41,53
11,64
50,30
19,30
1,19
42,60
24,19
10,23
72,52
43,43
42,59
18,41
11,11
4,58
9,11
10,12
22,54
44,38
35,28
1,11
46,38
44,43
20,18
39,30
22,45
35,35
10,7
47,19
43,15
6,43
7,2
6,7
24,21
17,15
7,51
1,41
22,37
6,59
51,54
72,76
7,5
9,37
5,11
41,59
42,18
6,60
29,27
6,27
18,51
36,44
7,11
24,61
6,1
18,19
27,38
29,30
18,29
24,54
19,44
48,59
20,25
11,42
9,5
41,58
10,15
27,14
34,44
29,14
29,44
41,61
20,12
41,60
13,56
48,61
15,55
20,23
27,27
15,14
18,60
18,16
36,26
22,15
4,41
9,40
6,61
19,40
48,60
22,38
19,51
72,72
45,40
18,23
47,68
18,59
1,21
29,37
29,23
18,42
4,64
18,64
11,48
51,69
24,69
18,61
19,56
41,68
26,40
24,60
6,56
45,20
1,56
6,24
27,13
18,20
1,61
9,27
6,20
63,72
27,15
43,56
5,12
6,11
29,38
13,55
24,59
24,20
17,13
34,45
11,41
6,12
9,13
6,42
22,28
35,32
15,17
10,8
1,23
7,17
41,41
39,40
38,20
18,43
47,42
43,50
1,60
9,28
9,29
6,13
16,5
19,25
13,17
7,19
6,48
37,40
29,15
29,29
48,69
10,3
6,26
48,58
6,28
6,68
10,16
9,17
9,15
9,10
18,13
7,12
6,6
16,15
6,64
27,12
47,67
22,20
57,67
29,13
9,34
1,64
42,58
19,29
37,39
1,59
16,55
22,13
20,13
9,7
10,50
18,48
27,29
55,56
48,64
19,28
7,7
4,34
6,29
22,67
9,8
19,34
7,16
37,26
22,29
6,51
20,34
6,8
39,28
20,28
37,33
4,67
10,10
22,27
22,50
6,39
18,33
22,68
18,26
48,62
10,14
1,42
19,27
6,34
10,55
9,55
9,39
32,5
24,64
18,39
63,67
8,8
46,39
9,16
20,33
9,14
1,67
6,67
1,48
41,67
26,32
41,64
9,33
10,17
19,33
41,48
18,32
19,39
28,32
39,34
20,32
34,39
39,32
